1 Jan 2007 00:00:00 GMT
2007-05-07 10.75 5.75 7.75 4.25
2007-05-08 10.75 5.0 7.75 3.5
2007-05-09 10.75 4.333333333333333 7.666666666666667 2.75
2007-05-10 10.666666666666666 3.6666666666666665 7.666666666666667 2.1666666666666665
2007-05-11 10.666666666666666 3.1666666666666665 7.666666666666667 1.6666666666666667
2007-05-12 10.666666666666666 2.5833333333333335 7.583333333333333 1.0833333333333333
2007-05-13 10.666666666666666 2.0 7.583333333333333 0.5
2007-05-14 10.583333333333334 1.3333333333333333 7.583333333333333 0.0
2007-05-15 10.583333333333334 0.6666666666666666 7.5 0.0
2007-05-16 10.583333333333334 0.0 7.5 0.0
2007-05-17 10.583333333333334 1.25 7.5 0.0
2007-05-18 10.583333333333334 2.3333333333333335 7.416666666666667 0.75
2007-05-19 10.5 3.3333333333333335 7.416666666666667 1.75
2007-05-20 10.5 4.166666666666667 7.416666666666667 2.5833333333333335
2007-05-21 10.5 4.916666666666667 7.416666666666667 3.3333333333333335
2007-05-22 10.5 5.5 7.333333333333333 3.9166666666666665
2007-05-23 10.416666666666666 5.916666666666667 7.333333333333333 4.416666666666667
2007-05-24 10.416666666666666 6.416666666666667 7.25 4.833333333333333
2007-05-25 10.416666666666666 6.833333333333333 7.25 5.25
2007-05-26 10.416666666666666 7.25 7.25 5.666666666666667
2007-05-27 10.416666666666666 7.75 7.25 6.166666666666667
2007-05-28 10.416666666666666 8.25 7.25 6.666666666666667
2007-05-29 10.416666666666666 8.833333333333334 7.25 7.25
2007-05-30 10.416666666666666 9.416666666666666 7.25 7.25
2007-05-31 10.416666666666666 10.083333333333334 7.166666666666667 7.166666666666667
2007-06-01 10.333333333333334 9.333333333333334 7.083333333333333 7.083333333333333
2007-06-02 10.333333333333334 8.416666666666666 7.083333333333333 6.75
2007-06-03 10.333333333333334 7.583333333333333 7.083333333333333 5.916666666666667
2007-06-04 10.333333333333334 6.833333333333333 7.083333333333333 5.166666666666667
2007-06-05 10.25 6.083333333333333 7.083333333333333 4.5
2007-06-06 10.25 5.5 7.083333333333333 3.9166666666666665
2007-06-07 10.25 5.0 7.083333333333333 3.4166666666666665
2007-06-08 10.25 4.416666666666667 7.0 2.8333333333333335
2007-06-09 10.25 3.9166666666666665 7.0 2.3333333333333335
2007-06-10 10.25 3.25 7.0 1.6666666666666667
2007-06-11 10.25 2.6666666666666665 7.0 1.0833333333333333
2007-06-12 10.25 1.8333333333333333 7.0 0.25
2007-06-13 10.166666666666666 1.0 7.0 0.0
2007-06-14 10.166666666666666 0.0 7.0 0.0
2007-06-15 10.25 0.8333333333333334 7.0 0.0
2007-06-16 10.25 1.75 7.0 0.16666666666666666
2007-06-17 10.25 2.5 7.0 0.9166666666666666
2007-06-18 10.25 3.1666666666666665 7.0 1.5833333333333333
2007-06-19 10.25 3.75 7.0 2.1666666666666665
2007-06-20 10.25 4.25 6.916666666666667 2.5833333333333335
2007-06-21 10.25 4.666666666666667 6.916666666666667 3.0
2007-06-22 10.25 5.166666666666667 6.916666666666667 3.5
2007-06-23 10.25 5.583333333333333 6.916666666666667 3.9166666666666665
2007-06-24 10.25 6.083333333333333 6.916666666666667 4.416666666666667
2007-06-25 10.25 6.583333333333333 6.916666666666667 4.916666666666667
2007-06-26 10.25 7.25 6.916666666666667 5.583333333333333
2007-06-27 10.25 7.916666666666667 7.0 6.25
2007-06-28 10.25 8.75 7.0 7.0
2007-06-29 10.25 9.666666666666666 7.0 7.0
2007-06-30 10.25 9.666666666666666 7.0 7.0
2007-07-01 10.25 8.916666666666666 7.0 7.0
2007-07-02 10.25 8.166666666666666 7.0 6.583333333333333
2007-07-03 10.25 7.583333333333333 7.0 6.0
2007-07-04 10.333333333333334 7.083333333333333 7.0 5.416666666666667
2007-07-05 10.333333333333334 6.583333333333333 7.0 4.916666666666667
2007-07-06 10.333333333333334 6.0 7.0 4.333333333333333
2007-07-07 10.333333333333334 5.5 7.166666666666667 3.9166666666666665
2007-07-08 10.333333333333334 4.833333333333333 7.166666666666667 3.25
2007-07-09 10.333333333333334 4.166666666666667 7.166666666666667 2.5833333333333335
2007-07-10 10.333333333333334 3.3333333333333335 7.166666666666667 1.75
2007-07-11 10.333333333333334 2.4166666666666665 7.166666666666667 0.8333333333333334
2007-07-12 10.333333333333334 1.3333333333333333 7.166666666666667 0.0
2007-07-13 10.333333333333334 0.25 7.166666666666667 0.0
2007-07-14 10.333333333333334 0.4166666666666667 7.166666666666667 0.0
2007-07-15 10.416666666666666 1.0833333333333333 7.25 0.0
2007-07-16 10.416666666666666 1.6666666666666667 7.25 0.08333333333333333
2007-07-17 10.416666666666666 2.25 7.25 0.6666666666666666
2007-07-18 10.416666666666666 2.6666666666666665 7.25 1.0833333333333333
2007-07-19 10.416666666666666 3.1666666666666665 7.333333333333333 1.6666666666666667
2007-07-20 10.416666666666666 3.5833333333333335 7.333333333333333 2.0833333333333335
2007-07-21 10.5 4.166666666666667 7.333333333333333 2.5833333333333335
2007-07-22 10.5 4.666666666666667 7.416666666666667 3.0833333333333335
2007-07-23 10.5 5.25 7.416666666666667 3.6666666666666665
2007-07-24 10.583333333333334 5.916666666666667 7.416666666666667 4.333333333333333
2007-07-25 10.583333333333334 6.666666666666667 7.416666666666667 5.083333333333333
2007-07-26 10.583333333333334 7.583333333333333 7.5 6.083333333333333
2007-07-27 10.583333333333334 8.583333333333334 7.5 7.083333333333333
2007-07-28 10.583333333333334 9.583333333333334 7.583333333333333 7.583333333333333
2007-07-29 10.583333333333334 10.5 7.583333333333333 7.583333333333333
2007-07-30 10.666666666666666 9.833333333333334 7.583333333333333 7.583333333333333
2007-07-31 10.666666666666666 9.25 7.583333333333333 7.583333333333333
2007-08-01 10.666666666666666 8.666666666666666 7.666666666666667 7.166666666666667
2007-08-02 10.666666666666666 8.166666666666666 7.666666666666667 6.666666666666667
2007-08-03 10.75 7.666666666666667 7.666666666666667 6.083333333333333
2007-08-04 10.75 7.083333333333333 7.75 5.583333333333333
2007-08-05 10.75 6.416666666666667 7.75 4.916666666666667
2007-08-06 10.75 5.666666666666667 7.833333333333333 4.166666666666667
2007-08-07 10.833333333333334 4.75 7.833333333333333 3.25
2007-08-08 10.833333333333334 3.75 7.833333333333333 2.25
2007-08-09 10.833333333333334 2.75 7.833333333333333 1.25
2007-08-10 10.833333333333334 1.6666666666666667 7.916666666666667 0.25
2007-08-11 10.833333333333334 0.5833333333333334 8.0 0.0
2007-08-12 10.916666666666666 0.0 8.0 0.0
2007-08-13 11.0 0.5 8.0 0.0
2007-08-14 11.0 1.0 8.0 0.0
2007-08-15 11.0 1.5 8.0 0.0
2007-08-16 11.0 1.9166666666666667 8.083333333333334 0.5
2007-08-17 11.0 2.4166666666666665 8.166666666666666 1.0
2007-08-18 11.083333333333334 3.0 8.166666666666666 1.5
2007-08-19 11.083333333333334 3.5 8.166666666666666 2.0
2007-08-20 11.083333333333334 4.166666666666667 8.25 2.75
2007-08-21 11.083333333333334 4.833333333333333 8.25 3.4166666666666665
2007-08-22 11.166666666666666 5.666666666666667 8.25 4.25
2007-08-23 11.25 6.75 8.25 5.25
2007-08-24 11.25 7.75 8.416666666666666 6.333333333333333
2007-08-25 11.25 8.833333333333334 8.416666666666666 7.416666666666667
2007-08-26 11.25 9.916666666666666 8.416666666666666 8.416666666666666
2007-08-27 11.25 11.0 8.416666666666666 8.416666666666666
2007-08-28 11.333333333333334 11.0 8.5 8.5
2007-08-29 11.333333333333334 10.416666666666666 8.5 8.5
2007-08-30 11.333333333333334 9.833333333333334 8.5 8.416666666666666
2007-08-31 11.333333333333334 9.25 8.583333333333334 7.916666666666667
2007-09-01 11.416666666666666 8.666666666666666 8.666666666666666 7.25
2007-09-02 11.5 7.916666666666667 8.666666666666666 6.5
2007-09-03 11.5 7.083333333333333 8.666666666666666 5.666666666666667
2007-09-04 11.5 6.166666666666667 8.666666666666666 4.75
2007-09-05 11.5 5.083333333333333 8.75 3.6666666666666665
2007-09-06 11.583333333333334 4.0 8.75 2.5833333333333335
2007-09-07 11.583333333333334 3.0 8.75 1.5833333333333333
2007-09-08 11.583333333333334 2.0 8.833333333333334 0.6666666666666666
2007-09-09 11.583333333333334 1.0 8.916666666666666 0.0
2007-09-10 11.583333333333334 0.08333333333333333 8.916666666666666 0.0
2007-09-11 11.666666666666666 0.0 8.916666666666666 0.0
2007-09-12 11.75 0.5 8.916666666666666 0.0
2007-09-13 11.75 0.9166666666666666 9.0 0.0
2007-09-14 11.75 1.4166666666666667 9.0 0.08333333333333333
2007-09-15 11.833333333333334 2.0 9.0 0.5833333333333334
2007-09-16 11.833333333333334 2.5833333333333335 9.0 1.1666666666666667
2007-09-17 11.833333333333334 3.25 9.166666666666666 1.9166666666666667
2007-09-18 11.833333333333334 4.083333333333333 9.166666666666666 2.75
2007-09-19 11.916666666666666 5.0 9.166666666666666 3.5833333333333335
2007-09-20 11.916666666666666 6.0 9.166666666666666 4.583333333333333
2007-09-21 11.916666666666666 7.0 9.25 5.666666666666667
2007-09-22 11.916666666666666 8.083333333333334 9.25 6.75
2007-09-23 12.083333333333334 9.25 9.25 7.833333333333333
2007-09-24 12.083333333333334 10.333333333333334 9.25 8.916666666666666
2007-09-25 12.083333333333334 11.416666666666666 9.333333333333334 9.333333333333334
2007-09-26 12.083333333333334 12.083333333333334 9.416666666666666 9.416666666666666
2007-09-27 12.083333333333334 11.583333333333334 9.416666666666666 9.416666666666666
2007-09-28 12.166666666666666 10.916666666666666 9.416666666666666 9.416666666666666
2007-09-29 12.166666666666666 10.166666666666666 9.5 8.833333333333334
2007-09-30 12.166666666666666 9.333333333333334 9.5 8.0
2007-10-01 12.166666666666666 8.416666666666666 9.5 7.083333333333333
2007-10-02 12.25 7.416666666666667 9.5 6.083333333333333
2007-10-03 12.333333333333334 6.416666666666667 9.583333333333334 5.0
2007-10-04 12.333333333333334 5.333333333333333 9.583333333333334 3.9166666666666665
2007-10-05 12.333333333333334 4.333333333333333 9.583333333333334 2.9166666666666665
2007-10-06 12.416666666666666 3.3333333333333335 9.666666666666666 2.0
2007-10-07 12.416666666666666 2.4166666666666665 9.666666666666666 1.0833333333333333
2007-10-08 12.416666666666666 1.5833333333333333 9.75 0.25
2007-10-09 12.416666666666666 0.6666666666666666 9.75 0.0
2007-10-10 12.416666666666666 0.0 9.75 0.0
2007-10-11 12.5 0.0 9.75 0.0
2007-10-12 12.583333333333334 0.5833333333333334 9.833333333333334 0.0
2007-10-13 12.583333333333334 1.0833333333333333 9.833333333333334 0.0
2007-10-14 12.583333333333334 1.75 9.833333333333334 0.4166666666666667
2007-10-15 12.583333333333334 2.5 9.916666666666666 1.1666666666666667
2007-10-16 12.666666666666666 3.4166666666666665 9.916666666666666 2.0
2007-10-17 12.666666666666666 4.333333333333333 9.916666666666666 2.9166666666666665
2007-10-18 12.666666666666666 5.25 10.0 3.9166666666666665
2007-10-19 12.666666666666666 6.333333333333333 10.0 5.0
2007-10-20 12.75 7.333333333333333 10.0 6.0
2007-10-21 12.833333333333334 8.5 10.0 7.083333333333333
2007-10-22 12.833333333333334 9.583333333333334 10.0 8.166666666666666
2007-10-23 12.833333333333334 10.666666666666666 10.083333333333334 9.333333333333334
2007-10-24 12.833333333333334 11.75 10.083333333333334 10.083333333333334
2007-10-25 12.833333333333334 12.833333333333334 10.166666666666666 10.166666666666666
2007-10-26 12.916666666666666 12.666666666666666 10.166666666666666 10.166666666666666
2007-10-27 12.916666666666666 11.833333333333334 10.166666666666666 10.166666666666666
2007-10-28 13.0 11.0 10.166666666666666 9.583333333333334
2007-10-29 13.0 9.916666666666666 10.166666666666666 8.5
2007-10-30 13.0 8.833333333333334 10.25 7.416666666666667
2007-10-31 13.0 7.75 10.25 6.333333333333333
2007-11-01 13.083333333333334 6.666666666666667 10.25 5.25
2007-11-02 13.083333333333334 5.666666666666667 10.333333333333334 4.333333333333333
2007-11-03 13.083333333333334 4.75 10.333333333333334 3.4166666666666665
2007-11-04 13.166666666666666 3.9166666666666665 10.333333333333334 2.5
2007-11-05 13.166666666666666 3.0833333333333335 10.333333333333334 1.6666666666666667
2007-11-06 13.166666666666666 2.1666666666666665 10.333333333333334 0.75
2007-11-07 13.166666666666666 1.3333333333333333 10.416666666666666 0.0
2007-11-08 13.25 0.4166666666666667 10.416666666666666 0.0
2007-11-09 13.25 0.0 10.416666666666666 0.0
2007-11-10 13.25 0.16666666666666666 10.5 0.0
2007-11-11 13.333333333333334 0.8333333333333334 10.5 0.0
2007-11-12 13.333333333333334 1.6666666666666667 10.5 0.25
2007-11-13 13.333333333333334 2.5833333333333335 10.5 1.1666666666666667
2007-11-14 13.333333333333334 3.5 10.5 2.0833333333333335
2007-11-15 13.333333333333334 4.5 10.5 3.0833333333333335
2007-11-16 13.333333333333334 5.5 10.5 4.083333333333333
2007-11-17 13.416666666666666 6.5 10.5 5.083333333333333
2007-11-18 13.5 7.583333333333333 10.583333333333334 6.083333333333333
2007-11-19 13.5 8.666666666666666 10.583333333333334 7.166666666666667
2007-11-20 13.5 9.75 10.666666666666666 8.333333333333334
2007-11-21 13.5 10.833333333333334 10.666666666666666 9.416666666666666
2007-11-22 13.5 12.0 10.666666666666666 10.583333333333334
2007-11-23 13.5 13.25 10.666666666666666 10.666666666666666
2007-11-24 13.583333333333334 13.583333333333334 10.666666666666666 10.666666666666666
2007-11-25 13.583333333333334 12.583333333333334 10.75 10.75
2007-11-26 13.583333333333334 11.5 10.75 10.083333333333334
2007-11-27 13.583333333333334 10.333333333333334 10.75 8.916666666666666
2007-11-28 13.583333333333334 9.25 10.75 7.833333333333333
2007-11-29 13.583333333333334 8.166666666666666 10.75 6.75
2007-11-30 13.666666666666666 7.333333333333333 10.75 5.833333333333333
2007-12-01 13.666666666666666 6.416666666666667 10.75 4.916666666666667
2007-12-02 13.666666666666666 5.5 10.75 4.0
2007-12-03 13.666666666666666 4.583333333333333 10.833333333333334 3.1666666666666665
2007-12-04 13.666666666666666 3.75 10.833333333333334 2.3333333333333335
2007-12-05 13.666666666666666 2.8333333333333335 10.833333333333334 1.4166666666666667
2007-12-06 13.666666666666666 1.9166666666666667 10.75 0.5
2007-12-07 13.75 1.0833333333333333 10.75 0.0
2007-12-08 13.75 0.08333333333333333 10.75 0.0
2007-12-09 13.75 0.0 10.75 0.0
2007-12-10 13.75 0.5833333333333334 10.75 0.0
2007-12-11 13.75 1.5 10.833333333333334 0.0
2007-12-12 13.75 2.5 10.833333333333334 1.0
2007-12-13 13.75 3.5 10.833333333333334 2.0
2007-12-14 13.833333333333334 4.5 10.833333333333334 3.0
2007-12-15 13.833333333333334 5.5 10.833333333333334 4.0
2007-12-16 13.75 6.416666666666667 10.833333333333334 5.0
2007-12-17 13.75 7.416666666666667 10.833333333333334 6.0
2007-12-18 13.75 8.5 10.833333333333334 7.083333333333333
2007-12-19 13.75 9.583333333333334 10.916666666666666 8.166666666666666
2007-12-20 13.75 10.75 10.916666666666666 9.333333333333334
2007-12-21 13.75 11.916666666666666 10.833333333333334 10.416666666666666
2007-12-22 13.75 13.083333333333334 10.833333333333334 10.833333333333334
2007-12-23 13.833333333333334 13.833333333333334 10.833333333333334 10.833333333333334
2007-12-24 13.833333333333334 13.083333333333334 10.833333333333334 10.833333333333334
2007-12-25 13.833333333333334 11.916666666666666 10.833333333333334 10.416666666666666
2007-12-26 13.833333333333334 10.833333333333334 10.833333333333334 9.333333333333334
2007-12-27 13.75 9.75 10.833333333333334 8.25
2007-12-28 13.75 8.833333333333334 10.833333333333334 7.333333333333333
2007-12-29 13.75 7.916666666666667 10.833333333333334 6.416666666666667
2007-12-30 13.75 7.0 10.75 5.5
2007-12-31 13.75 6.083333333333333 10.833333333333334 4.666666666666667
