2007-11-05 T 20:50:08.437 UTCRSS 5  [1] [SDAT] RSS : .simCompleted()():: Run: 0 pstat=  1 1.0646 1.0646 1.0646 NaN
2007-11-05 T 21:51:15.304 UTCRSS 589  [1] [SDAT] RSS : .simCompleted()():: Run: 73 pstat=  74 1.1776592792792795 0.91756 1.4267333333333334 0.11483841168171215
2007-11-05 T 21:52:14.429 UTCRSS 597  [1] [SDAT] RSS : .simCompleted()():: Run: 74 pstat=  75 1.179723288888889 0.91756 1.4267333333333334 0.11545196679839635
2007-11-05 T 21:52:56.657 UTCRSS 605  [1] [SDAT] RSS : .simCompleted()():: Run: 75 pstat=  76 1.1791592397660822 0.91756 1.4267333333333334 0.11478507767344925
2007-11-05 T 21:53:41.874 UTCRSS 613  [1] [SDAT] RSS : .simCompleted()():: Run: 76 pstat=  77 1.1805534199134202 0.91756 1.4267333333333334 0.11468181443219276
2007-11-05 T 21:54:18.332 UTCRSS 621  [1] [SDAT] RSS : .simCompleted()():: Run: 77 pstat=  78 1.182247606837607 0.91756 1.4267333333333334 0.11491299070321274
2007-11-05 T 21:55:15.564 UTCRSS 629  [1] [SDAT] RSS : .simCompleted()():: Run: 78 pstat=  79 1.182428860759494 0.91756 1.4267333333333334 0.11418535810196133
2007-11-05 T 21:55:57.138 UTCRSS 637  [1] [SDAT] RSS : .simCompleted()():: Run: 79 pstat=  80 1.1831822500000002 0.91756 1.4267333333333334 0.11366029170783049
2007-11-05 T 21:56:36.381 UTCRSS 645  [1] [SDAT] RSS : .simCompleted()():: Run: 80 pstat=  81 1.1832730041152266 0.91756 1.4267333333333334 0.11295063425357225
2007-11-05 T 21:57:20.411 UTCRSS 653  [1] [SDAT] RSS : .simCompleted()():: Run: 81 pstat=  82 1.1819404065040653 0.91756 1.4267333333333334 0.11289800021995519
2007-11-05 T 21:58:08.243 UTCRSS 661  [1] [SDAT] RSS : .simCompleted()():: Run: 82 pstat=  83 1.1811450066934408 0.91756 1.4267333333333334 0.11244123259379896
2007-11-05 T 21:58:47.170 UTCRSS 669  [1] [SDAT] RSS : .simCompleted()():: Run: 83 pstat=  84 1.179179920634921 0.91756 1.4267333333333334 0.11320369439792355
2007-11-05 T 21:59:39.050 UTCRSS 677  [1] [SDAT] RSS : .simCompleted()():: Run: 84 pstat=  85 1.179925960784314 0.91756 1.4267333333333334 0.11273785940661782
2007-11-05 T 22:00:28.164 UTCRSS 685  [1] [SDAT] RSS : .simCompleted()():: Run: 85 pstat=  86 1.179858604651163 0.91756 1.4267333333333334 0.11207447416916522
2007-11-05 T 22:01:15.220 UTCRSS 693  [1] [SDAT] RSS : .simCompleted()():: Run: 86 pstat=  87 1.1813268965517243 0.91756 1.4267333333333334 0.11225949807304314
2007-11-05 T 22:02:12.145 UTCRSS 701  [1] [SDAT] RSS : .simCompleted()():: Run: 87 pstat=  88 1.182077474747475 0.91756 1.4267333333333334 0.111834334816461
2007-11-05 T 22:03:06.458 UTCRSS 709  [1] [SDAT] RSS : .simCompleted()():: Run: 88 pstat=  89 1.183957802746567 0.91756 1.4267333333333334 0.11260313380099905
2007-11-05 T 22:03:48.327 UTCRSS 717  [1] [SDAT] RSS : .simCompleted()():: Run: 89 pstat=  90 1.1868042469135804 0.91756 1.4401377777777777 0.11517899908502285
2007-11-05 T 22:04:33.953 UTCRSS 725  [1] [SDAT] RSS : .simCompleted()():: Run: 90 pstat=  91 1.1882350915750919 0.91756 1.4401377777777777 0.1153477584706293
2007-11-05 T 22:05:17.633 UTCRSS 733  [1] [SDAT] RSS : .simCompleted()():: Run: 91 pstat=  92 1.1875411111111114 0.91756 1.4401377777777777 0.11490519332164949
2007-11-05 T 22:05:55.532 UTCRSS 741  [1] [SDAT] RSS : .simCompleted()():: Run: 92 pstat=  93 1.1872432258064518 0.91756 1.4401377777777777 0.11431510305805095
2007-11-05 T 22:06:36.561 UTCRSS 749  [1] [SDAT] RSS : .simCompleted()():: Run: 93 pstat=  94 1.1869163356973997 0.91756 1.4401377777777777 0.11374300789416229
2007-11-05 T 22:07:46.433 UTCRSS 757  [1] [SDAT] RSS : .simCompleted()():: Run: 94 pstat=  95 1.185574292397661 0.91756 1.4401377777777777 0.11389004252504586
2007-11-05 T 22:08:38.596 UTCRSS 765  [1] [SDAT] RSS : .simCompleted()():: Run: 95 pstat=  96 1.1848865972222224 0.91756 1.4401377777777777 0.11348923439622796
2007-11-05 T 22:09:37.058 UTCRSS 773  [1] [SDAT] RSS : .simCompleted()():: Run: 96 pstat=  97 1.182165589919817 0.91756 1.4401377777777777 0.11603369384101504
2007-11-05 T 22:10:20.929 UTCRSS 781  [1] [SDAT] RSS : .simCompleted()():: Run: 97 pstat=  98 1.181261292517007 0.91756 1.4401377777777777 0.11578063624612815
2007-11-05 T 22:11:17.114 UTCRSS 789  [1] [SDAT] RSS : .simCompleted()():: Run: 98 pstat=  99 1.179763142536476 0.91756 1.4401377777777777 0.11614891006482968
2007-11-05 T 22:12:05.780 UTCRSS 797  [1] [SDAT] RSS : .simCompleted()():: Run: 99 pstat=  100 1.1807934000000002 0.91756 1.4401377777777777 0.11601915348985115
2007-11-05 T 22:12:56.241 UTCRSS 805  [1] [SDAT] RSS : .simCompleted()():: Run: 100 pstat=  101 1.1801514411441145 0.91756 1.4401377777777777 0.11561774416227948
2007-11-05 T 22:13:59.342 UTCRSS 813  [1] [SDAT] RSS : .simCompleted()():: Run: 101 pstat=  102 1.179245163398693 0.91756 1.4401377777777777 0.11540748789647781
2007-11-05 T 22:14:35.305 UTCRSS 821  [1] [SDAT] RSS : .simCompleted()():: Run: 102 pstat=  103 1.1808058899676377 0.91756 1.4401377777777777 0.11592758632542262
2007-11-05 T 22:15:24.325 UTCRSS 829  [1] [SDAT] RSS : .simCompleted()():: Run: 103 pstat=  104 1.1824720726495728 0.91756 1.4401377777777777 0.11660809869830807
2007-11-05 T 22:16:20.343 UTCRSS 837  [1] [SDAT] RSS : .simCompleted()():: Run: 104 pstat=  105 1.1824755132275135 0.91756 1.4401377777777777 0.11604613404208784
2007-11-05 T 22:17:18.662 UTCRSS 845  [1] [SDAT] RSS : .simCompleted()():: Run: 105 pstat=  106 1.183035597484277 0.91756 1.4401377777777777 0.11563607782324212
2007-11-05 T 22:18:03.636 UTCRSS 853  [1] [SDAT] RSS : .simCompleted()():: Run: 106 pstat=  107 1.1827400415368643 0.91756 1.4401377777777777 0.1151299316539153
2007-11-05 T 22:18:44.373 UTCRSS 861  [1] [SDAT] RSS : .simCompleted()():: Run: 107 pstat=  108 1.1827955761316875 0.91756 1.4401377777777777 0.1145921317697169
2007-11-05 T 22:19:36.985 UTCRSS 869  [1] [SDAT] RSS : .simCompleted()():: Run: 108 pstat=  109 1.1825174311926607 0.91756 1.4401377777777777 0.11409733901335864
2007-11-05 T 22:20:15.110 UTCRSS 877  [1] [SDAT] RSS : .simCompleted()():: Run: 109 pstat=  110 1.1822816161616163 0.91756 1.4401377777777777 0.11359967727581588
2007-11-05 T 22:20:58.942 UTCRSS 885  [1] [SDAT] RSS : .simCompleted()():: Run: 110 pstat=  111 1.1807843843843848 0.91756 1.4401377777777777 0.11417704917353749
2007-11-05 T 22:21:50.045 UTCRSS 893  [1] [SDAT] RSS : .simCompleted()():: Run: 111 pstat=  112 1.18137876984127 0.91756 1.4401377777777777 0.11383550615653597
2007-11-05 T 22:22:40.203 UTCRSS 901  [1] [SDAT] RSS : .simCompleted()():: Run: 112 pstat=  113 1.1839806293018684 0.91756 1.4753888888888889 0.11665245123125707
2007-11-05 T 22:23:39.034 UTCRSS 909  [1] [SDAT] RSS : .simCompleted()():: Run: 113 pstat=  114 1.1824061403508774 0.91756 1.4753888888888889 0.11734555458659503
2007-11-05 T 22:24:41.227 UTCRSS 917  [1] [SDAT] RSS : .simCompleted()():: Run: 114 pstat=  115 1.1822522705314011 0.91756 1.4753888888888889 0.11684139943156731
2007-11-05 T 22:25:20.404 UTCRSS 925  [1] [SDAT] RSS : .simCompleted()():: Run: 115 pstat=  116 1.1834069923371648 0.91756 1.4753888888888889 0.11699518238592026
2007-11-05 T 22:26:13.039 UTCRSS 933  [1] [SDAT] RSS : .simCompleted()():: Run: 116 pstat=  117 1.1816081671415006 0.91756 1.4753888888888889 0.11810359491907436
2007-11-05 T 22:27:15.842 UTCRSS 941  [1] [SDAT] RSS : .simCompleted()():: Run: 117 pstat=  118 1.1796962711864407 0.91756 1.4753888888888889 0.11941763847210506
