2007-11-05 T 22:05:55.532 UTCRSS 745  [1] [SDAT] RSS : .simCompleted()():: Run: 92 fpstat=  93 0.4054972520908004 0.18973333333333334 0.6107111111111111 0.08353712973382034
2007-11-05 T 22:06:36.562 UTCRSS 753  [1] [SDAT] RSS : .simCompleted()():: Run: 93 fpstat=  94 0.4041635933806146 0.18973333333333334 0.6107111111111111 0.08408690508994028
2007-11-05 T 22:07:46.433 UTCRSS 761  [1] [SDAT] RSS : .simCompleted()():: Run: 94 fpstat=  95 0.40576280701754375 0.18973333333333334 0.6107111111111111 0.08507848953823659
2007-11-05 T 22:08:38.597 UTCRSS 769  [1] [SDAT] RSS : .simCompleted()():: Run: 95 fpstat=  96 0.4059037037037036 0.18973333333333334 0.6107111111111111 0.08464078219646637
2007-11-05 T 22:09:37.059 UTCRSS 777  [1] [SDAT] RSS : .simCompleted()():: Run: 96 fpstat=  97 0.40585612829324164 0.18973333333333334 0.6107111111111111 0.08420009451652936
2007-11-05 T 22:10:20.929 UTCRSS 785  [1] [SDAT] RSS : .simCompleted()():: Run: 97 fpstat=  98 0.4073514739229024 0.18973333333333334 0.6107111111111111 0.08506292034987525
2007-11-05 T 22:11:17.115 UTCRSS 793  [1] [SDAT] RSS : .simCompleted()():: Run: 98 fpstat=  99 0.4078464646464645 0.18973333333333334 0.6107111111111111 0.08477100510513487
2007-11-05 T 22:12:05.780 UTCRSS 801  [1] [SDAT] RSS : .simCompleted()():: Run: 99 fpstat=  100 0.4073982222222221 0.18973333333333334 0.6107111111111111 0.0844608094296844
2007-11-05 T 22:12:56.241 UTCRSS 809  [1] [SDAT] RSS : .simCompleted()():: Run: 100 fpstat=  101 0.40689240924092396 0.18973333333333334 0.6107111111111111 0.0841910480407468
2007-11-05 T 22:13:59.343 UTCRSS 817  [1] [SDAT] RSS : .simCompleted()():: Run: 101 fpstat=  102 0.40721263616557724 0.18973333333333334 0.6107111111111111 0.08383562881433619
2007-11-05 T 22:14:35.305 UTCRSS 825  [1] [SDAT] RSS : .simCompleted()():: Run: 102 fpstat=  103 0.4078088457389427 0.18973333333333334 0.6107111111111111 0.08364280982451937
2007-11-05 T 22:15:24.325 UTCRSS 833  [1] [SDAT] RSS : .simCompleted()():: Run: 103 fpstat=  104 0.40712777777777764 0.18973333333333334 0.6107111111111111 0.08352506758320495
2007-11-05 T 22:16:20.344 UTCRSS 841  [1] [SDAT] RSS : .simCompleted()():: Run: 104 fpstat=  105 0.408241693121693 0.18973333333333334 0.6107111111111111 0.08390256591372176
2007-11-05 T 22:17:18.663 UTCRSS 849  [1] [SDAT] RSS : .simCompleted()():: Run: 105 fpstat=  106 0.40885995807127873 0.18973333333333334 0.6107111111111111 0.08374434330214213
2007-11-05 T 22:18:03.638 UTCRSS 857  [1] [SDAT] RSS : .simCompleted()():: Run: 106 fpstat=  107 0.4080166147455866 0.18973333333333334 0.6107111111111111 0.08380366916051792
2007-11-05 T 22:18:44.374 UTCRSS 865  [1] [SDAT] RSS : .simCompleted()():: Run: 107 fpstat=  108 0.4066835390946501 0.18973333333333334 0.6107111111111111 0.08455379785496557
2007-11-05 T 22:19:36.985 UTCRSS 873  [1] [SDAT] RSS : .simCompleted()():: Run: 108 fpstat=  109 0.40837431192660545 0.18973333333333334 0.6107111111111111 0.08599271357007553
2007-11-05 T 22:20:15.110 UTCRSS 881  [1] [SDAT] RSS : .simCompleted()():: Run: 109 fpstat=  110 0.4073082828282828 0.18973333333333334 0.6107111111111111 0.0863244522585188
2007-11-05 T 22:20:58.942 UTCRSS 889  [1] [SDAT] RSS : .simCompleted()():: Run: 110 fpstat=  111 0.4077585585585585 0.18973333333333334 0.6107111111111111 0.0860620210409181
2007-11-05 T 22:21:50.046 UTCRSS 897  [1] [SDAT] RSS : .simCompleted()():: Run: 111 fpstat=  112 0.4084678571428571 0.18973333333333334 0.6107111111111111 0.08600169996945237
2007-11-05 T 22:22:40.204 UTCRSS 905  [1] [SDAT] RSS : .simCompleted()():: Run: 112 fpstat=  113 0.408940412979351 0.18973333333333334 0.6107111111111111 0.08576414164299162
2007-11-05 T 22:23:39.034 UTCRSS 913  [1] [SDAT] RSS : .simCompleted()():: Run: 113 fpstat=  114 0.4097586744639376 0.18973333333333334 0.6107111111111111 0.08582962244696621
2007-11-05 T 22:24:41.228 UTCRSS 921  [1] [SDAT] RSS : .simCompleted()():: Run: 114 fpstat=  115 0.4090380676328502 0.18973333333333334 0.6107111111111111 0.08580105032116948
2007-11-05 T 22:25:20.404 UTCRSS 929  [1] [SDAT] RSS : .simCompleted()():: Run: 115 fpstat=  116 0.4088942528735632 0.18973333333333334 0.6107111111111111 0.08544122892101659
2007-11-05 T 22:26:13.040 UTCRSS 937  [1] [SDAT] RSS : .simCompleted()():: Run: 116 fpstat=  117 0.4097606837606837 0.18973333333333334 0.6107111111111111 0.0855868155751497
2007-11-05 T 22:27:15.843 UTCRSS 945  [1] [SDAT] RSS : .simCompleted()():: Run: 117 fpstat=  118 0.41122749529190206 0.18973333333333334 0.6107111111111111 0.08669703880975987
2007-11-05 T 22:28:07.018 UTCRSS 953  [1] [SDAT] RSS : .simCompleted()():: Run: 118 fpstat=  119 0.4105822595704948 0.18973333333333334 0.6107111111111111 0.08661536583845242
2007-11-05 T 22:28:43.449 UTCRSS 961  [1] [SDAT] RSS : .simCompleted()():: Run: 119 fpstat=  120 0.4100229629629629 0.18973333333333334 0.6107111111111111 0.0864680012707973
2007-11-05 T 22:29:27.787 UTCRSS 969  [1] [SDAT] RSS : .simCompleted()():: Run: 120 fpstat=  121 0.4095595959595959 0.18973333333333334 0.6107111111111111 0.08625768991782012
2007-11-05 T 22:30:21.527 UTCRSS 977  [1] [SDAT] RSS : .simCompleted()():: Run: 121 fpstat=  122 0.4100131147540983 0.18973333333333334 0.6107111111111111 0.08604644748871855
2007-11-05 T 22:31:03.673 UTCRSS 985  [1] [SDAT] RSS : .simCompleted()():: Run: 122 fpstat=  123 0.40890695573622393 0.18973333333333334 0.6107111111111111 0.08656676018910753
2007-11-05 T 22:31:52.647 UTCRSS 993  [1] [SDAT] RSS : .simCompleted()():: Run: 123 fpstat=  124 0.4098168458781361 0.18973333333333334 0.6107111111111111 0.08680747861121328
2007-11-05 T 22:32:43.001 UTCRSS 1001  [1] [SDAT] RSS : .simCompleted()():: Run: 124 fpstat=  125 0.40963448888888876 0.18973333333333334 0.6107111111111111 0.08648077607925626
2007-11-05 T 22:33:44.376 UTCRSS 1009  [1] [SDAT] RSS : .simCompleted()():: Run: 125 fpstat=  126 0.40913721340388 0.18973333333333334 0.6107111111111111 0.08631483580837708
2007-11-05 T 22:34:49.675 UTCRSS 1017  [1] [SDAT] RSS : .simCompleted()():: Run: 126 fpstat=  127 0.4094852143482064 0.18973333333333334 0.6107111111111111 0.08606103762362532
2007-11-05 T 22:35:34.437 UTCRSS 1025  [1] [SDAT] RSS : .simCompleted()():: Run: 127 fpstat=  128 0.4092118055555555 0.18973333333333334 0.6107111111111111 0.08577733724597784
2007-11-05 T 22:36:28.689 UTCRSS 1033  [1] [SDAT] RSS : .simCompleted()():: Run: 128 fpstat=  129 0.4101019810508182 0.18973333333333334 0.6107111111111111 0.08603772632948622
